osm_id,OCC_TYPE
320003641,office
320260714,office
320275294,office
320278194,residential
320288649,residential
320308832,retail_food
320407572,residential
320415894,healthcare
320427161,retail_food
320435500,residential
320437024,residential
320442625,office
320571477,residential
320576261,office
320580690,residential
320588172,office
321063031,residential
326540592,residential
326540744,residential
327442957,retail_food
327709160,retail_food
327710628,retail_food
329351987,residential
329931286,residential
329931763,office
329932099,retail_food
329932279,retail_food
330842203,civic_transit
330875110,retail_food
331053894,office
331053896,residential
331053897,residential
331053899,residential
331053900,residential
331053901,retail_food
331117011,industrial
331129094,residential
331129095,residential
331129096,residential
331129097,residential
331129098,office
331129099,office
331129100,residential
331275850,office
331275851,industrial
331275852,retail_food
331333016,office
331336355,retail_food
331336356,retail_food
331619716,industrial
331620064,industrial
332360856,retail_food
332748261,residential
332748264,residential
332748265,industrial
332748267,residential
332748269,retail_food
332748271,residential
332748273,office
332748275,residential
332748277,residential
332748278,residential
332748279,residential
332748280,residential
332748282,hospitality
332748284,hospitality
332748287,office
332748289,office
332919415,retail_food
332924767,retail_food
332988008,education
332993873,retail_food
334866121,other
338365656,office
343484613,retail_food
353965029,religious
353965347,civic_transit
354369320,religious
357248653,retail_food
357296819,healthcare
357299857,retail_food
357528384,hospitality
357959317,residential
357959318,residential
357959319,residential
357959433,residential
357961618,residential
357961619,residential
357961620,residential
357961621,residential
357961622,residential
357961623,residential
357961629,residential
357961630,residential
357961631,residential
357961632,residential
357970398,residential
357970405,residential
357970411,residential
357975720,residential
357975722,residential
357977603,retail_food
358287876,residential
358287877,residential
358287878,residential
358287892,residential
358287997,residential
358288082,residential
358288083,residential
358288084,residential
358288085,residential
358288086,residential
358288396,residential
358288397,residential
358288398,residential
358288404,residential
358956284,office
358956285,office
358956882,retail_food
358962180,industrial
358975370,office
358981548,retail_food
358981954,retail_food
358983546,office
358987071,education
358987313,retail_food
358987781,education
359168320,residential
359168321,residential
359168322,residential
359168327,residential
359168328,residential
359168330,residential
359168337,residential
359168338,residential
359168339,residential
359168340,residential
359168341,residential
359168342,residential
359168751,residential
359176412,residential
359176413,residential
359176504,residential
359176771,residential
359176772,residential
359177591,residential
359177822,residential
359177961,residential
359177962,residential
359178424,residential
359179791,residential
359179792,residential
359180305,residential
359180567,residential
359180568,residential
359180964,residential
359180965,residential
359181151,residential
359181452,residential
359181453,residential
359181530,residential
359181581,residential
359181647,residential
359182222,residential
359182755,residential
359182865,residential
359183840,residential
359184080,residential
359184340,residential
359184341,residential
359185430,residential
359185612,residential
359185946,residential
359185948,residential
359186430,residential
359186910,industrial
359638264,retail_food
359674011,retail_food
359831238,education
360078833,industrial
360085957,office
360086684,retail_food
360350608,office
360361099,residential
360429753,retail_food
361906404,education
361996067,residential
361996768,residential
361997920,residential
362696900,education
364580469,civic_transit
364583268,residential
365935240,residential
366383585,residential
366383586,retail_food
366385410,retail_food
366385923,education
368855058,residential
368855108,residential
369934719,retail_food
369934720,retail_food
371830818,healthcare
371830822,other
372066968,residential
372294583,residential
372351427,retail_food
373509378,residential
373509382,residential
373511041,office
373511042,industrial
373511044,industrial
373511045,retail_food
373511047,residential
373511048,office
373511050,office
373513173,industrial
373513175,retail_food
373513176,residential
373513178,residential
373513179,residential
373513181,residential
373513182,retail_food
373513184,retail_food
373513185,retail_food
373513187,residential
373513188,retail_food
373513190,residential
373513193,residential
373513194,retail_food
373513196,retail_food
373522250,residential
373843160,retail_food
374035216,retail_food
374035242,industrial
374510813,residential
374511537,retail_food
375293056,retail_food
375415974,office
5588140,hospitality
375468876,retail_food
375564164,residential
375567785,residential
375593425,retail_food
375884178,retail_food
375886284,education
375891470,religious
375934453,residential
376130104,retail_food
376133654,retail_food
376175203,retail_food
5612407,industrial
377673811,retail_food
379421598,residential
379596249,residential
379596250,residential
379596251,residential
379596252,residential
379596253,residential
379596254,residential
379596255,residential
380687347,education
380849052,education
380867641,office
381855178,residential
381855179,residential
381855661,retail_food
381855806,religious
381856000,education
381943211,education
381943212,education
381943216,education
381943217,education
381943218,education
381943220,education
381943221,education
381943737,industrial
381943738,industrial
381951222,retail_food
381951226,residential
382297198,residential
382297199,residential
382297200,residential
382297201,residential
382297202,residential
382297203,residential
382297204,residential
382297205,residential
382297206,residential
382297207,residential
382297209,residential
382297210,residential
382297211,residential
382297212,residential
382297213,residential
382297214,residential
382297215,residential
382297216,residential
382297217,residential
382297218,residential
382397866,religious
382397868,religious
382397869,education
382397870,industrial
382536412,residential
383851790,civic_transit
383851791,civic_transit
383851793,civic_transit
383851794,civic_transit
383851796,civic_transit
383851797,civic_transit
383851799,civic_transit
383851801,civic_transit
383851802,civic_transit
383851814,religious
383861975,residential
383861976,civic_transit
383861980,retail_food
383861982,retail_food
383861983,retail_food
383864636,residential
383864637,retail_food
383864638,retail_food
383864639,retail_food
383864640,retail_food
383864641,retail_food
383866986,industrial
383866987,industrial
384029080,other
384029081,other
384029082,other
384029083,other
384029085,other
384029086,other
384029088,other
384029090,other
384029091,other
384029092,other
384029093,office
384029094,residential
384029095,residential
384029096,residential
384029097,residential
384029098,office
384030319,retail_food
384036447,office
384036448,industrial
384036453,retail_food
384036457,industrial
384038046,industrial
384038048,education
384038049,education
384038050,education
384038051,education
384038052,education
384038053,education
384060802,residential
384068165,residential
384068166,office
384068167,office
384068169,office
384068170,office
384068171,residential
384068174,office
384068175,retail_food
384068176,retail_food
384068177,retail_food
384068178,retail_food
384199538,education
384199539,education
384199540,education
384199541,office
384199542,office
384199543,education
384199545,office
384199547,office
384199549,residential
384199551,retail_food
384199553,education
